# Melhores coberturas conhecidas no mundo, e melhores limites inferiores
# já provados, para o covering design C(v,k,t).
#
# Fonte: La Jolla Covering Repository, D. M. Gordon.
#   https://github.com/dmgordo/LJCR
# Licença: Creative Commons Attribution 4.0 (CC BY 4.0).
#
# Gerado por ferramentas/atualizar-referencia.py — não editar à mão.
#
# v,k,t,melhor_conhecido,limite_publicado
24,19,3,4,4
24,19,4,6,6
24,19,5,9,9
24,19,6,14,13
24,19,7,21,19
24,19,8,29,27
24,20,2,3,3
24,20,3,4,4
24,20,4,5,5
24,20,5,6,6
24,20,6,9,9
24,20,7,12,12
24,20,8,18,17
24,21,2,3,3
24,21,3,4,4
24,21,4,5,5
24,21,5,6,6
24,21,6,7,7
24,21,7,8,8
24,21,8,12,12
24,22,2,3,3
24,22,3,4,4
24,22,4,5,5
24,22,5,6,6
24,22,6,7,7
24,22,7,8,8
24,22,8,9,9
24,23,2,3,3
24,23,3,4,4
24,23,4,5,5
24,23,5,6,6
24,23,6,7,7
24,23,7,8,8
24,23,8,9,9
25,3,2,100,100
25,4,2,50,50
25,4,3,600,600
25,5,2,30,30
25,5,3,256,240
25,5,4,2622,2550
25,6,2,23,23
25,6,3,130,125
25,6,4,992,925
25,6,5,9321,9321
25,7,2,18,18
25,7,3,83,75
25,7,4,440,400
25,7,5,2952,2572
25,7,6,28416,25300
25,8,2,13,13
25,8,3,57,54
25,8,4,263,216
25,8,5,1116,1116
25,8,6,8598,6697
25,8,7,70924,63622
25,9,2,11,11
25,9,3,38,34
25,9,4,162,125
25,9,5,703,525
25,9,6,3041,2112
25,9,7,18189,14759
25,9,8,152582,120175
25,10,2,10,10
25,10,3,30,28
25,10,4,97,80
25,10,5,379,255
25,10,6,1778,1040
25,10,7,7675,4468
25,10,8,39468,26148
25,11,2,7,7
25,11,3,23,19
25,11,4,66,55
25,11,5,231,160
25,11,6,868,503
25,11,7,3758,1846
25,11,8,13936,7364
25,12,2,7,7
25,12,3,17,15
25,12,4,47,38
25,12,5,133,96
25,12,6,455,288
25,12,7,1559,830
25,12,8,6015,2900
25,13,2,6,6
25,13,3,14,13
25,13,4,30,28
25,13,5,73,58
25,13,6,229,139
25,13,7,709,381
25,13,8,2354,1178
